Source,Target,Type,Id,Label,timeset,Weight
70,78,Undirected,9.3,,,203
70,80,Undirected,14.6,,,204
71,75,Undirected,13.9,,,205
72,73,Undirected,6.6,,,206
72,76,Undirected,9.5,,,207
72,77,Undirected,13.2,,,208
72,78,Undirected,11.1,,,209
72,80,Undirected,16.9,,,210
73,76,Undirected,16.0,,,211
73,77,Undirected,6.8,,,212
73,78,Undirected,17.7,,,213
74,77,Undirected,14.5,,,214
75,79,Undirected,7.1,,,215
75,80,Undirected,15.0,,,216
76,78,Undirected,3.2,,,217
76,79,Undirected,15.5,,,218
76,80,Undirected,7.5,,,219
78,79,Undirected,13.7,,,220
78,80,Undirected,6.1,,,221
79,80,Undirected,7.9,,,222
68,69,Undirected,8,,,223
68,55,Undirected,8,,,224
37,55,Undirected,8,,,225
44,51,Undirected,8,,,226
51,60,Undirected,8,,,227
60,72,Undirected,8,,,228
